iter	Logloss
0	0.3309367304
1	0.3175484631
2	0.3111809965
3	0.3056919336
4	0.3004583512
5	0.296116007
6	0.2921725237
7	0.2882362889
8	0.2844478327
9	0.2807362474
10	0.2775827334
11	0.2741264345
12	0.2711272964
13	0.2684640271
14	0.2660923646
15	0.2636261686
16	0.2613381365
17	0.2592084895
18	0.257181267
19	0.2551884849
20	0.2532328628
21	0.2514663158
22	0.2497414548
23	0.2480894076
24	0.2465271916
25	0.2450873908
26	0.2436561642
27	0.2423393252
28	0.2410396097
29	0.2397990351
30	0.2385186082
31	0.2373373469
32	0.2360763129
33	0.2349416786
34	0.2339397405
35	0.232864033
36	0.231926842
37	0.2309511348
38	0.2300322955
39	0.2290504475
40	0.2280903458
41	0.2272116751
42	0.226333775
43	0.2255389837
44	0.2247010532
45	0.2238396431
46	0.223045102
47	0.2223026382
48	0.221582261
49	0.2209286101
50	0.2202738663
51	0.2197006862
52	0.2190964359
53	0.2184691828
54	0.2178585011
55	0.2172393678
56	0.2166674078
57	0.2160563737
58	0.2155473124
59	0.2150514466
60	0.2145800893
61	0.2141137547
62	0.2136242224
63	0.2131669968
64	0.2127681014
65	0.2123092158
66	0.2118504296
67	0.2114388802
68	0.2110419185
69	0.2106702369
70	0.2102709752
71	0.2098737753
72	0.2095037578
73	0.2091623045
74	0.208827717
75	0.2084942242
76	0.2081669393
77	0.2078532447
78	0.2075353242
79	0.2072377399
80	0.2069095124
81	0.206602985
82	0.2062462378
83	0.2059674639
84	0.2056258396
85	0.2053718732
86	0.2050805844
87	0.2048317842
88	0.2045786686
89	0.2043651569
90	0.2040555549
91	0.2038207484
92	0.2035880174
93	0.2033855539
94	0.2031702798
95	0.2029078659
96	0.2026551419
97	0.2024330643
98	0.2022449957
99	0.2020269434
100	0.201790116
101	0.2015544228
102	0.2013467728
103	0.2011462851
104	0.200909744
105	0.2007133667
106	0.2005296642
107	0.2003580121
108	0.2001426764
109	0.1999814215
110	0.1997679675
111	0.199560927
112	0.1993190829
113	0.1990987191
114	0.1989177283
115	0.1987341444
116	0.1985505353
117	0.1983554385
118	0.1981845922
119	0.1979853424
120	0.1977695862
121	0.197615099
122	0.1973791852
123	0.1972362111
124	0.19701816
125	0.1968354171
126	0.1966680357
127	0.1965197111
128	0.1963130263
129	0.1961791757
130	0.1960628677
131	0.1959166631
132	0.1957761505
133	0.1956315546
134	0.1954442631
135	0.1952687142
136	0.1951171437
137	0.195004707
138	0.1948597036
139	0.1947274518
140	0.1945927723
141	0.1944330035
142	0.1942644872
143	0.194103553
144	0.1939487159
145	0.1938074236
146	0.193678382
147	0.1935645019
148	0.1933654089
149	0.1932415772
150	0.1930901404
151	0.1929614875
152	0.192835014
153	0.1927040411
154	0.1926075801
155	0.1924538639
156	0.1923265257
157	0.1921967931
158	0.1920420343
159	0.1918763631
160	0.191749579
161	0.1916382334
162	0.1914914811
163	0.191345273
164	0.1912400762
165	0.1911082466
166	0.1909729408
167	0.1908422628
168	0.1907250732
169	0.1905563264
170	0.1904462244
171	0.1903424222
172	0.1902283939
173	0.190108023
174	0.1899681819
175	0.1898642096
176	0.1897526032
177	0.1896207491
178	0.1895086788
179	0.1893998307
180	0.1892610048
181	0.189140747
182	0.1890258225
183	0.188890736
184	0.1887685191
185	0.1886513464
186	0.1885533421
187	0.1884024572
188	0.1882813846
189	0.1881508615
190	0.1880315492
191	0.1879077813
192	0.1878094662
193	0.1876854165
194	0.1875699703
195	0.1874602405
196	0.1873285389
197	0.187172858
198	0.187029995
199	0.186883314
200	0.1867968138
201	0.1866841188
202	0.1866069433
203	0.1864774064
204	0.1863574347
205	0.1862667852
206	0.186162094
207	0.1860431785
208	0.1859386213
209	0.1858375965
210	0.1857135922
211	0.1855912161
212	0.1855133506
213	0.1853913105
214	0.1852905612
215	0.1852139588
216	0.1850997327
217	0.1849918161
218	0.1848768631
219	0.184796982
220	0.1846808613
221	0.1845937176
222	0.1844817272
223	0.1843779488
224	0.1842567382
225	0.1841605892
226	0.1840268946
227	0.1839360572
228	0.183826804
229	0.1836935983
230	0.1835897338
231	0.1834731231
232	0.1833509455
233	0.1832289457
234	0.183112651
235	0.1830318761
236	0.182958828
237	0.1828645944
238	0.1827743849
239	0.182642867
240	0.1825280631
241	0.1824010226
242	0.1822939183
243	0.1821877573
244	0.1820681402
245	0.1819768553
246	0.1818657158
247	0.18174438
248	0.1816269911
249	0.181532955
250	0.1814262833
251	0.1813074468
252	0.1812181331
253	0.1811338756
254	0.1810154377
255	0.1809347653
256	0.1808180499
257	0.1807195939
258	0.1806091647
259	0.1804979672
260	0.1803855842
261	0.1803089769
262	0.1801770606
263	0.1800757774
264	0.1799745375
265	0.1798778478
266	0.1797828601
267	0.1796657577
268	0.1795360024
269	0.1794540816
270	0.1793294795
271	0.1792275316
272	0.1791089483
273	0.1789626417
274	0.1788411622
275	0.1787431332
276	0.1786464347
277	0.1785370756
278	0.1784365715
279	0.1783347104
280	0.1782421541
281	0.1781745283
282	0.1780655836
283	0.1779335143
284	0.1778256951
285	0.1777437789
286	0.1776495388
287	0.1775626961
288	0.1774646378
289	0.1773802817
290	0.1773034727
291	0.1772313252
292	0.1771479841
293	0.1770752212
294	0.176985267
295	0.176928276
296	0.1768390169
297	0.1767462533
298	0.176645649
299	0.1765294095
300	0.1764484607
301	0.1763732485
302	0.1762715038
303	0.1761777322
304	0.1760723784
305	0.1759873193
306	0.1758844233
307	0.1758019136
308	0.1757199557
309	0.1756248988
310	0.1755308671
311	0.1754259644
312	0.1753618825
313	0.175248456
314	0.1751433021
315	0.1750818978
316	0.1749931664
317	0.1748942216
318	0.174783416
319	0.1746722996
320	0.1745908779
321	0.1744962268
322	0.174400161
323	0.1743245312
324	0.1742387817
325	0.1741363259
326	0.1740188172
327	0.1739066104
328	0.1737595184
329	0.1736871975
330	0.1735965392
331	0.1735021879
332	0.1734061709
333	0.1733221805
334	0.1732391977
335	0.1730935879
336	0.1729810194
337	0.1728850601
338	0.1727871916
339	0.1726818107
340	0.1725751323
341	0.1725144097
342	0.1723923374
343	0.1723008171
344	0.1722218902
345	0.1721037358
346	0.1719854285
347	0.1718937155
348	0.1717933039
349	0.1716574652
350	0.1715436543
351	0.1714444527
352	0.1713660746
353	0.1712371087
354	0.1711585803
355	0.1710703868
356	0.1709483197
357	0.1708548687
358	0.1707479452
359	0.1706449102
360	0.1705738858
361	0.1704827757
362	0.1703624544
363	0.1702548173
364	0.1701497054
365	0.1700606494
366	0.169973546
367	0.1698663397
368	0.1697737007
369	0.1697153333
370	0.1696068193
371	0.1695139015
372	0.1694444969
373	0.1693634244
374	0.1693053163
375	0.1692252516
376	0.1691488505
377	0.1690292091
378	0.1689187995
379	0.1688211059
380	0.1686914311
381	0.1686123597
382	0.1685182339
383	0.1684431231
384	0.1683313422
385	0.1682359774
386	0.1681241316
387	0.1680408316
388	0.1679171369
389	0.1678245304
390	0.1677178037
391	0.1676355696
392	0.1675368154
393	0.1674419622
394	0.1673499837
395	0.1672758888
396	0.1671917546
397	0.1671144465
398	0.1669889463
399	0.1668863883
400	0.1667762091
401	0.1666770592
402	0.1666040953
403	0.1664749598
404	0.1664098769
405	0.1663059088
406	0.1662138637
407	0.1660935655
408	0.1659649345
409	0.1658957901
410	0.1657846965
411	0.1656947843
412	0.1656138085
413	0.1655283894
414	0.1654359904
415	0.1653517929
416	0.1652592823
417	0.165179598
418	0.1650993145
419	0.1650005368
420	0.1649205608
421	0.1647858617
422	0.1647073878
423	0.1646312115
424	0.1645458432
425	0.1644391233
426	0.1643413468
427	0.1642401697
428	0.1641472683
429	0.1640712322
430	0.1639995216
431	0.1638695975
432	0.1637675852
433	0.1636431574
434	0.1635578983
435	0.1634434094
436	0.1633543843
437	0.1632983411
438	0.1631889877
439	0.1631029988
440	0.1629916586
441	0.1628973889
442	0.1628332829
443	0.1627300585
444	0.1626519265
445	0.1625856593
446	0.1625323839
447	0.1624389226
448	0.1623599799
449	0.1622688147
450	0.1622313409
451	0.1621427302
452	0.1620590579
453	0.1619869697
454	0.161930287
455	0.1618261568
456	0.1617629693
457	0.1616906346
458	0.1616015568
459	0.1615069237
460	0.1614257353
461	0.1613471896
462	0.1612691896
463	0.1611871315
464	0.1611072498
465	0.161032045
466	0.1609646647
467	0.1608719781
468	0.1608234758
469	0.1607597527
470	0.1606764556
471	0.1605886776
472	0.1604889207
473	0.1604082387
474	0.1603404245
475	0.1602521211
476	0.1601389684
477	0.1600527148
478	0.1599644507
479	0.1598889453
480	0.1598155553
481	0.1597356548
482	0.1596331262
483	0.1595280227
484	0.1594066343
485	0.1593064438
486	0.1591942773
487	0.159134282
488	0.1590833134
489	0.1590038787
490	0.1589549729
491	0.158863349
492	0.1588067864
493	0.1587434399
494	0.1586752263
495	0.1585957622
496	0.1585254971
497	0.1584610048
498	0.1584076834
499	0.1583275867
500	0.1582425308
501	0.1581742597
502	0.1581177235
503	0.1580292707
504	0.1579143274
505	0.1578241132
506	0.1577459485
507	0.1576621909
508	0.1575664252
509	0.1574874566
510	0.1574207368
511	0.157345992
512	0.1572604317
513	0.1571792324
514	0.1571011919
515	0.1570050093
516	0.1569199565
517	0.1568300831
518	0.1567510769
519	0.1566636256
520	0.1566120977
521	0.1565141932
522	0.1564515749
523	0.1563862517
524	0.1563069492
525	0.1562261718
526	0.1561540417
527	0.156065175
528	0.1559554534
529	0.1558682705
530	0.1558129133
531	0.1557382422
532	0.1556476518
533	0.1555568622
534	0.155470082
535	0.1553822783
536	0.1552966309
537	0.1552046407
538	0.1551183313
539	0.1550593253
540	0.1549896662
541	0.1548881009
542	0.1548286718
543	0.1547428678
544	0.1546606432
545	0.1545576331
546	0.1544754162
547	0.1544236334
548	0.1543504916
549	0.1542690135
550	0.1542003857
551	0.1540946104
552	0.1539978045
553	0.153918259
554	0.1538384317
555	0.1537625254
556	0.1536814483
557	0.1536260861
558	0.1535518978
559	0.1534499451
560	0.1533556449
561	0.1532650258
562	0.1531522694
563	0.1530732484
564	0.1529738361
565	0.1528891243
566	0.1527948444
567	0.1526811811
568	0.1525759702
569	0.1525065078
570	0.1524283151
571	0.1523542839
572	0.1522540618
