iter	Passed	Remaining
0	370	18130
1	749	17999
2	1148	17998
3	1491	17155
4	1848	16633
5	2188	16050
6	2583	15872
7	2956	15524
8	3313	15094
9	3644	14576
10	3982	14118
11	4324	13695
12	4661	13268
13	4989	12829
14	5365	12518
15	5723	12162
16	6049	11743
17	6413	11400
18	6760	11030
19	7124	10687
20	7459	10300
21	7815	9946
22	8165	9585
23	8493	9201
24	8865	8865
25	9251	8539
26	9605	8182
27	9952	7819
28	10332	7482
29	10669	7112
30	10995	6739
31	11352	6385
32	11725	6040
33	12088	5688
34	12460	5340
35	12790	4974
36	13132	4614
37	13493	4261
38	13922	3926
39	14278	3569
40	14622	3209
41	14967	2850
42	15307	2491
43	15664	2136
44	16016	1779
45	16352	1421
46	16731	1067
47	17104	712
48	17431	355
49	17815	0
